Title,Artist,Duration,Release Date,Plays,Album Category,Distribution Status,Distributor
The Middle Road,The William Altig Choir,4:30,Dec 14 2025,0,Dhammapada Blues,SoundCloud Only,
The Fire Don't Quit,The William Altig Choir,5:37,Dec 14 2025,9,Dhammapada Blues,SoundCloud Only,
Can You Sleep At Night,The William Altig Choir,3:59,Dec 13 2025,57,Dhammapada Blues,SoundCloud Only,
The Bodhisattva Vow,The William Altig Choir,3:22,Dec 12 2025,156,Diamond Sutra Blues,SoundCloud Only,
Fix Your Roof,The William Altig Choir,5:51,Dec 12 2025,49,Dhammapada Blues,SoundCloud Only,
Hold Nothing,The William Altig Choir,5:06,Dec 11 2025,171,Diamond Sutra Blues,SoundCloud Only,
Fools Gold,The William Altig Choir,4:49,Dec 11 2025,176,Diamond Sutra Blues,SoundCloud Only,
Clothes Don't Make the Saint,The William Altig Choir,4:18,Dec 10 2025,357,Dhammapada Blues,SoundCloud Only,
Stand Like a Mountain,The William Altig Choir,4:09,Dec 9 2025,160,Dhammapada Blues,SoundCloud Only,
Put That Record Down,The William Altig Choir,3:41,Dec 8 2025,493,Dhammapada Blues,SoundCloud Only,
We All Running Out of Time,The William Altig Choir,4:12,Dec 8 2025,1050,Dhammapada Blues,SoundCloud Only,
Get Your Head Right,The William Altig Choir,3:47,Dec 6 2025,208,Dhammapada Blues,SoundCloud Only,
The Heart of the Perfection of Wisdom,The William Altig Choir,4:15,Dec 6 2025,192,Heart Sutra,SoundCloud Only,
Cunda's Last Supper,The William Altig Choir,4:57,Nov 29 2025,187,Nirvana Sutra,SoundCloud Only,
The Thief I Called My Son,The William Altig Choir,3:39,Nov 26 2025,273,Lotus Sutra Blues,SoundCloud Only,
Just to Cater to Your Whim,The William Altig Choir,4:04,Nov 6 2025,244,Lotus Sutra Blues,SoundCloud Only,
The Forgotten Promise,The William Altig Choir,6:32,Nov 5 2025,289,Lotus Sutra Blues,SoundCloud Only,
The Cure I Couldn't See,The William Altig Choir,3:13,Nov 4 2025,1970,Lotus Sutra Blues,Streaming,LANDR
THE DELUSION CHAIN,The William Altig Choir,4:23,Nov 3 2025,170,Dharma Singles,SoundCloud Only,
Lay Your Shovel Down,The William Altig Choir,6:16,Oct 30 2025,297,Lotus Sutra Blues,SoundCloud Only,
Change Poison into Medicine,The William Altig Choir,4:03,Oct 29 2025,237,Lotus Sutra Blues,SoundCloud Only,
The Monkey the Cow and the Crown Jewel,The William Altig Choir,3:47,Oct 27 2025,1250,Lotus Sutra Blues,Streaming (Mar 27 2026),LANDR
Twigs and Leaves,The William Altig Choir,5:08,Oct 26 2025,249,Lotus Sutra Blues,SoundCloud Only,
Sahà-Loka Grind,The William Altig Choir,5:01,Oct 25 2025,240,Lotus Sutra Blues,SoundCloud Only,
Welling Up From the Ground,The William Altig Choir,4:44,Oct 24 2025,1980,Lotus Sutra Blues,Streaming,LANDR
The King of All Songs,The William Altig Choir,5:23,Oct 23 2025,237,Lotus Sutra Blues,SoundCloud Only,
Fifty Aeons Long,The William Altig Choir,4:08,Oct 23 2025,1680,Lotus Sutra Blues,Streaming,eMastered
Faith Alone,The William Altig Choir,3:43,Oct 22 2025,216,Lotus Sutra Blues,SoundCloud Only,
Already Home,The William Altig Choir,5:44,Oct 22 2025,253,Lotus Sutra Blues,SoundCloud Only,
Cool and Refreshed,The William Altig Choir,4:41,Oct 21 2025,215,Lotus Sutra Blues,SoundCloud Only,
The Treasure Tower,The William Altig Choir,5:44,Oct 19 2025,2150,Lotus Sutra Blues,Streaming,LANDR
The Sweet Illusion,The William Altig Choir,4:10,Oct 18 2025,1300,Lotus Sutra Blues,Streaming,LANDR
Eagle Peak is Everywhere,The William Altig Choir,4:37,Oct 17 2025,217,Lotus Sutra Blues,SoundCloud Only,
Faith Calls Insight Answers,The William Altig Choir,3:24,Oct 17 2025,285,Lotus Sutra Blues,SoundCloud Only,
The Sky of Merit,The William Altig Choir,3:54,Oct 16 2025,200,Lotus Sutra Blues,SoundCloud Only,
Good Seed,The William Altig Choir,4:29,Oct 16 2025,300,Lotus Sutra Blues,SoundCloud Only,
Firewood and Flame,The William Altig Choir,4:53,Oct 15 2025,288,Lotus Sutra Blues,SoundCloud Only,
Poison Into Medicine,The William Altig Choir,3:19,Oct 15 2025,230,Lotus Sutra Blues,SoundCloud Only,
The Open Gate,The William Altig Choir,4:40,Oct 14 2025,2820,Lotus Sutra Blues,Streaming,LANDR
The Sun Don't Preach,The William Altig Choir,4:56,Oct 13 2025,2650,Lotus Sutra Blues,Streaming,LANDR
The Dewdrop and the Sea,The William Altig Choir,5:38,Oct 13 2025,265,Lotus Sutra Blues,SoundCloud Only,
Empty the Ocean,The William Altig Choir,4:55,Oct 13 2025,229,Lotus Sutra Blues,SoundCloud Only,
Love Till Loves the Only Sure,The William Altig Choir,5:11,Oct 12 2025,231,Hearts & Memories,SoundCloud Only,
The Light You Already Got,The William Altig Choir,5:47,Oct 11 2025,231,Lotus Sutra Blues,SoundCloud Only,
The Fearless Vow Blues,The William Altig Choir,4:08,Oct 2 2025,231,Lotus Sutra Blues,SoundCloud Only,
The Non-Contempt Blues,The William Altig Choir,4:37,Oct 1 2025,252,Lotus Sutra Blues,SoundCloud Only,
The Threefold Crown Blues,The William Altig Choir,2:52,Oct 1 2025,317,Lotus Sutra Blues,SoundCloud Only,
The Bow That Sees,The William Altig Choir,3:01,Sep 30 2025,232,Dharma Singles,SoundCloud Only,
The Quiet Gap Blues,The William Altig Choir,3:00,Sep 29 2025,253,Dharma Singles,SoundCloud Only,
Bodhi Tree Blues,The William Altig Choir,4:34,Sep 29 2025,346,Dharma Singles,SoundCloud Only,
Walk On Easy,The William Altig Choir,3:29,Sep 28 2025,245,Dharma Singles,SoundCloud Only,
Six Seals on the Road,The William Altig Choir,4:37,Sep 27 2025,370,Dharma Singles,SoundCloud Only,
The Unhidden Light,The William Altig Choir,3:54,Sep 26 2025,282,Dharma Singles,SoundCloud Only,
From the Deep and Fertile Ground,The William Altig Choir,5:17,Sep 25 2025,258,Lotus Sutra Blues,SoundCloud Only,
Joyful Display Blues,The William Altig Choir,4:45,Sep 25 2025,474,Lotus Sutra Blues,SoundCloud Only,
The Gospel Truth,The William Altig Choir,4:59,Sep 24 2025,256,Dharma Singles,SoundCloud Only,
The Buddha Never Truly Goes,The William Altig Choir,4:22,Sep 23 2025,221,Lotus Sutra Blues,SoundCloud Only,
Dharma Blues,The William Altig Choir,5:40,Sep 22 2025,208,Dharma Singles,SoundCloud Only,
The Buddhas Eyes Blues,The William Altig Choir,4:02,Sep 22 2025,179,Lotus Sutra Blues,SoundCloud Only,
Singularity Blues,The William Altig Choir,3:45,Sep 21 2025,226,Dharma Singles,SoundCloud Only,
The Dirt and the Eternal Bloom,The William Altig Choir,4:54,Sep 21 2025,271,Lotus Sutra Blues,SoundCloud Only,
The One Great White Ox Cart Blues,The William Altig Choir,5:07,Sep 20 2025,230,Lotus Sutra Blues,SoundCloud Only,
Karma Into Mission,The William Altig Choir,5:18,Sep 9 2025,335,Dharma Singles,SoundCloud Only,
No Turning Back,The William Altig Choir,4:28,Aug 28 2025,227,Dharma Singles,Streaming,LANDR
My Inner Change,The William Altig Choir,3:14,Aug 12 2025,247,Dharma Singles,Streaming,LANDR
Unfolding Wisdom's Blues,The William Altig Choir,6:34,Aug 12 2025,299,Dharma Singles,Streaming,LANDR
Why the Caged Bird Sings,The William Altig Choir,6:13,Jul 19 2025,232,Dharma Singles,Streaming,LANDR
Won't Break My Vow,The William Altig Choir,3:37,Jul 15 2025,254,Lotus Sutra Blues,SoundCloud Only,
Out of the Burning House,The William Altig Choir,5:11,Jun 16 2025,233,Lotus Sutra Blues,SoundCloud Only,
Guaranteed,The William Altig Choir,4:12,Jun 12 2025,16,Lotus Sutra Blues,SoundCloud Only,
He Never Really Left Us,The William Altig Choir,4:40,Jun 6 2025,203,Lotus Sutra Blues,SoundCloud Only,
See That Beauty Shinin',The William Altig Choir,3:28,Jun 4 2025,244,Dharma Singles,SoundCloud Only,
Unimaginable,The William Altig Choir,3:43,Jun 3 2025,234,Lotus Sutra Blues,SoundCloud Only,
The Vow Beyond the Fall,The William Altig Choir,3:29,Jun 2 2025,21,Lotus Sutra Blues,SoundCloud Only,
The Lions Roar,The William Altig Choir,3:59,Jun 2 2025,236,Lotus Sutra Blues,SoundCloud Only,
This Enduring Muscle,The William Altig Choir,5:03,May 30 2025,167,Lotus Sutra Blues,SoundCloud Only,
Never-Despised Blues,The William Altig Choir,3:47,May 19 2025,298,Lotus Sutra Blues,SoundCloud Only,
Palaces of Grace,The William Altig Choir,3:42,May 18 2025,200,Lotus Sutra Blues,Streaming,LANDR
The River Remembers Blues,The William Altig Choir,3:50,Mar 16 2025,203,Dharma Singles,SoundCloud Only,
The Necklace of Boundless Compassion,The William Altig Choir,5:33,Mar 14 2025,161,Lotus Sutra Blues,SoundCloud Only,
Share Your Blessings Let Em Shine,The William Altig Choir,3:10,Mar 14 2025,184,Dharma Singles,SoundCloud Only,
Necklace of the Boundless Heart,The William Altig Choir,3:52,Mar 14 2025,207,Lotus Sutra Blues,SoundCloud Only,
Beneath the Surface,The William Altig Choir,2:52,Mar 12 2025,179,Dharma Singles,SoundCloud Only,
Clinging to the Flame,The William Altig Choir,4:00,Mar 11 2025,222,Dharma Singles,SoundCloud Only,
The Fishermans Net,The William Altig Choir,3:25,Mar 9 2025,282,Parables,SoundCloud Only,
The Wise Physician's Blues,The William Altig Choir,4:54,Mar 7 2025,197,Lotus Sutra Blues,SoundCloud Only,
The Sutra of the Mad and Free,The William Altig Choir,3:21,Mar 6 2025,214,Dharma Singles,SoundCloud Only,
The King's Awakening,The William Altig Choir,4:03,Mar 1 2025,208,Lotus Sutra Blues,SoundCloud Only,
Golden River,The William Altig Choir,3:16,Feb 27 2025,298,Dharma Singles,SoundCloud Only,
Beneath the Sky,The William Altig Choir,4:08,Feb 25 2025,264,Dharma Singles,SoundCloud Only,
The Seedling and the Sunstone,The William Altig Choir,4:34,Feb 23 2025,216,Parables,SoundCloud Only,
Mountain's Peak Blues,The William Altig Choir,5:12,Feb 15 2025,203,Dharma Singles,SoundCloud Only,
Moonlight & Mountains,The William Altig Choir,4:48,Feb 14 2025,220,Seasons & Stillness,SoundCloud Only,
Curiously Discover,The William Altig Choir,2:58,Feb 13 2025,205,Dharma Singles,SoundCloud Only,
Sufferings Journey & Liberation,The William Altig Choir,1:39,Feb 11 2025,678,Four Noble Truths,SoundCloud Only,
Fire in the Stone,The William Altig Choir,4:00,Feb 2025,1200,Dharma Singles,Streaming,LANDR
Four Doors of the Heart,The William Altig Choir,3:30,Feb 2025,1433,Dharma Singles,Streaming,LANDR
The Sound Beyond Words,The William Altig Choir,4:00,Feb 2025,1547,Lotus Sutra Blues,Streaming,LANDR
One Word of Praise,The William Altig Choir,3:45,Feb 2025,1836,Lotus Sutra Blues,Streaming,LANDR
The Day the Buddha Called My Name,The William Altig Choir,4:00,Jan 2025,1589,Lotus Sutra Blues,Streaming,LANDR
The Strength of Kindness,The William Altig Choir,4:21,Aug 29 2024,1270,Dharma Singles,Streaming,LANDR
The Auspicious Dawn of Wisdom,The William Altig Choir,4:00,Jan 2025,1778,Lotus Sutra Blues,Streaming,LANDR
Cell Block Chant,The William Altig Choir,4:30,Jan 2025,1602,Lotus Sutra Blues,Streaming,LANDR
Through What We Go Through,The William Altig Choir,4:00,2025,200,Dharma Singles,Streaming,LANDR
In the Depths of Compassion,The William Altig Choir,5:00,2025,200,Dharma Singles,Streaming,LANDR
Divine Justice Blues,William Altig,4:00,Aug 20 2024,1453,Dharma Singles,Streaming,TuneCore
Awakening in You,William Altig,4:00,Jul 17 2024,500,Dharma Singles,Streaming,TuneCore
Teaching of Wisdom,William Altig,2:00,Jul 30 2024,241,Dharma Singles,Streaming,TuneCore
Blues Revelation,William Altig,4:00,Jun 25 2024,500,Dharma Singles,Streaming,TuneCore
The Path of Compassion,William Altig,4:00,Jul 07 2024,500,Dharma Singles,Streaming,TuneCore
Faith Is...,William Altig,4:00,Jul 02 2024,500,Dharma Singles,Streaming,TuneCore
Infinite Light,William Altig,4:00,Jul 09 2024,500,Dharma Singles,Streaming,TuneCore
Kindness Builds My Home,William Altig,3:30,Jul 16 2024,500,Dharma Singles,Streaming,TuneCore
Healing in the Blues,William Altig,4:00,Jun 11 2024,500,Dharma Singles,Streaming,TuneCore
In Your Presence,William Altig,4:00,Jun 18 2024,500,Dharma Singles,Streaming,TuneCore
Boundless Love,William Altig,3:00,Jun 04 2024,500,Dharma Singles,Streaming,TuneCore
Stand Tall and Grand,William Altig,3:36,Jun 11 2024,309,Dharma Singles,Streaming,TuneCore
Midnight Stroll,William Altig,4:00,Jun 18 2024,500,Seasons & Stillness,Streaming,TuneCore
Lotus Bloom,William Altig,4:00,Jun 18 2024,500,Lotus Sutra Blues,Streaming,TuneCore
Why Do the Foolish Rage?,William Altig,2:51,May 29 2024,179,Dharma Singles,Streaming,TuneCore
Rainbow Garden,William Altig,4:09,May 28 2024,305,Seasons & Stillness,Streaming,TuneCore
The Power of Happiness,William Altig,2:12,May 02 2024,204,Dharma Singles,Streaming,TuneCore
Reflection of Love,William Altig,2:51,May 28 2024,222,Hearts & Memories,Streaming,TuneCore
